journal,field,current_value,suggested_value,confidence,source_urls,reasoning,suggestion_type,priority
Annual Review of Genetics,Business model,,Subscription,0.75,https://www.annualreviews.org/journal/genet,The official website of Annual Reviews indicates that the journal operates under a subscription-based model.,fill,high
Annual Review of Genetics,APC Euros,,0,0.65,https://www.annualreviews.org/journal/genet,Annual Reviews does not charge an article processing charge (APC) for publications in their journals.,fill,medium
Nature Reviews Genetics,APC Euros,,10850,0.75,https://www.nature.com/ng/submission-guidelines/publishing-options,"The official Nature Genetics submission guidelines state that the APC for Gold Open Access is £9390.00/$12850.00/€10850.00. Since the journal is published by Springer Nature, the EUR value of €10850.00 is used as the APC Euros.",fill,medium
Plant Genetic Resources,APC Euros,,0,0.65,https://www.cambridge.org/core/journals/plant-genetic-resources,"The journal's official website indicates it is a Cambridge University Press (CUP) journal, which typically operates under a subscription model. Since the business model is listed as 'Hybrid', there is no APC fee.",fill,medium
Animal Genetics,Institution,,University of Edinburgh,0.75,https://ourhistory.is.ed.ac.uk/index.php/Animal_Genetics,The University of Edinburgh is associated with the study of Animal Genetics based on historical records.,fill,low
Animal Genetics,Institution type,,University,0.75,https://ourhistory.is.ed.ac.uk/index.php/Animal_Genetics,"The University of Edinburgh is a university, as indicated by its historical records.",fill,low
Clinical Genetics,Institution,,Wiley-Blackwell,0.65,https://onlinelibrary.wiley.com/journal/13990004,"The official website of the journal is hosted by Wiley-Blackwell, which is a publishing company that often acts as the institution for the journals it publishes.",fill,low
Frontiers in Genome Editing,Institution,,Frontiers Research Foundation,0.65,https://www.frontiersin.org/journals/genome-editing,"The publisher 'Frontiers Media SA' is associated with the Frontiers Research Foundation, which is the institutional sponsor of the journal based on the official website and publishing fees page.",fill,low
Frontiers in Genome Editing,Institution type,,Research Institute,0.65,https://www.frontiersin.org/journals/genome-editing,The Frontiers Research Foundation is categorized as a research institute based on its role in supporting open-access publishing and scientific research.,fill,low
Heredity,Institution,,Genetics Society,0.85,https://www.nature.com/hdy/about,The official journal website mentions that Heredity is the official journal of the Genetics Society.,fill,low
Heredity,Institution type,,Society,0.85,https://www.nature.com/hdy/about,The Genetics Society is a society that publishes the Heredity journal.,fill,low
Journal of Experimental Zoology Part A: Ecological and Integrative Physiology,Institution,,Wiley-Blackwell,0.55,https://onlinelibrary.wiley.com/journal/24715646,"The publisher page indicates Wiley-Blackwell as the publisher, and while it does not explicitly state the institution, it is common for publishers like Wiley-Blackwell to be associated with academic institutions or societies.",fill,low
Journal of Experimental Zoology Part A: Ecological and Integrative Physiology,Institution type,,Research Institute,0.55,https://onlinelibrary.wiley.com/journal/24715646,"The publisher page indicates Wiley-Blackwell as the publisher, and while it does not explicitly state the institution type, it is common for publishers like Wiley-Blackwell to be associated with research institutes or academic institutions.",fill,low
Journal of Genetics and Genomics,Institution,,Chinese Academy of Sciences,0.75,https://www.sciencedirect.com/journal/journal-of-genetics-and-genomics,"The official website of the journal is published by the Chinese Academy of Sciences, which is a major research institution in China.",fill,low
Journal of Genetics and Genomics,Institution type,,Research Institute,0.75,https://www.sciencedirect.com/journal/journal-of-genetics-and-genomics,The Chinese Academy of Sciences is a research institute that publishes the Journal of Genetics and Genomics.,fill,low
